id,user_id,experiment_id,scenario_type,input_type,input_state,hand,hand_location,hand_rotation,event_datetime
0,"FDI_AC","","T1_BasicMechanics","IA_Move_Right","started","Right","(17.660538;32.488045;9.906654)","(-26.32165;61.820858;-17.689171)","2025-2-17 18:46:16.78"
1,"FDI_AC","","T1_BasicMechanics","IA_Move_Right","completed","Right","(18.081299;32.536804;9.95488)","(-29.229586;61.040791;-12.684507)","2025-2-17 18:46:16.218"
2,"FDI_AC","","T1_BasicMechanics","IA_Move_Right","started","Right","(18.098347;33.539349;10.295219)","(-31.718773;55.287605;-25.542957)","2025-2-17 18:46:16.472"
3,"FDI_AC","","T1_BasicMechanics","IA_Move_Right","completed","Right","(20.429575;32.301956;6.676765)","(-55.25724;61.566055;-41.769096)","2025-2-17 18:46:16.976"
4,"FDI_AC","","T1_BasicMechanics","IA_Move_Right","started","Right","(12.125532;31.959606;4.330147)","(-69.842209;42.457523;-58.443134)","2025-2-17 18:46:17.617"
5,"FDI_AC","","T1_BasicMechanics","IA_Move_Right","completed","Right","(8.702927;30.49572;4.983414)","(-70.153809;38.164467;-56.278049)","2025-2-17 18:46:17.946"
6,"FDI_AC","","T1_BasicMechanics","IA_Move_Right","started","Right","(13.867344;30.205513;0.929039)","(-73.668671;24.575739;-65.832375)","2025-2-17 18:46:18.420"
7,"FDI_AC","","T1_BasicMechanics","IA_Menu_Interact_Right","started","Right","(27.980238;26.591745;8.778351)","(-48.941238;8.548136;-85.245636)","2025-2-17 18:46:18.722"
8,"FDI_AC","","T1_BasicMechanics","IA_Menu_Interact_Right","completed","Right","(24.035557;24.954866;10.998459)","(-74.711235;2.971581;-75.835892)","2025-2-17 18:46:18.915"
9,"FDI_AC","","T1_BasicMechanics","IA_Move_Right","completed","Right","(24.131474;24.8922;11.401276)","(-76.760902;6.639429;-74.392357)","2025-2-17 18:46:18.948"
10,"FDI_AC","","T1_BasicMechanics","IA_Move_Right","started","Right","(14.454077;32.022266;3.51461)","(-24.344826;-27.384247;-43.012115)","2025-2-17 18:46:20.452"
11,"FDI_AC","","T1_BasicMechanics","IA_Move_Right","completed","Right","(13.949829;30.330303;3.360741)","(-26.010948;-20.009741;-41.39167)","2025-2-17 18:46:20.616"
12,"FDI_AC","","T1_BasicMechanics","IA_Move_Right","started","Right","(4.363571;32.666084;2.864067)","(-36.822708;-13.587386;-58.439735)","2025-2-17 18:46:21.617"
