id,user_id,experiment_id,scenario_type,epd_id,dose_rate,dose_absortion,event_position,event_datetime
0,"FDI_AC","","T2_BasicEmergency","2","[0.0;2.084957;2.084834;2.084834;2.084834;2.084834;2.084834;2.084834;2.084834;2.084834;]","[0.0;0.000248;0.000759;0.001062;0.001355;0.001658;0.00195;0.00225;0.002543;0.002837;]","[(2026.446777;12040.62207);(2026.449829;12040.621094);(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
1,"FDI_AC","","T2_BasicEmergency","2","[0.0;1.871383;1.871278;1.871278;1.871278;1.871278;1.871278;1.871278;1.871278;1.871278;]","[0.0;0.000223;0.000682;0.000953;0.001216;0.001488;0.001751;0.002019;0.002282;0.002546;]","[(2091.175049;12070.0);(2091.173828;12070.00293);(2091.175049;12070.0);(2091.175049;12070.0);(2091.175049;12070.0);(2091.175049;12070.0);(2091.175049;12070.0);(2091.175049;12070.0);(2091.175049;12070.0);(2091.175049;12070.0);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
2,"FDI_AC","","T2_BasicEmergency","2","[0.0;1.99539;1.995275;1.995275;1.995275;1.995275;1.995275;1.995275;1.995275;1.995275;]","[0.0;0.000237;0.000727;0.001016;0.001297;0.001586;0.001867;0.002153;0.002434;0.002715;]","[(2050.0;12109.202148);(2049.99707;12109.201172);(2050.0;12109.202148);(2050.0;12109.202148);(2050.0;12109.202148);(2050.0;12109.202148);(2050.0;12109.202148);(2050.0;12109.202148);(2050.0;12109.202148);(2050.0;12109.202148);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
3,"FDI_AC","","T2_BasicEmergency","2","[2.084834;2.084834;2.084834;2.084834;2.084834;2.084834;2.084834;2.084834;2.084834;2.084834;]","[0.003139;0.003431;0.003724;0.004016;0.004308;0.0046;0.004893;0.005186;0.005479;0.005771;]","[(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
4,"FDI_AC","","T2_BasicEmergency","2","[1.871278;1.871278;1.871278;1.871278;1.871278;1.871278;1.871278;1.871278;1.871278;1.871278;]","[0.002817;0.003079;0.003343;0.003604;0.003867;0.004129;0.004392;0.004654;0.004918;0.00518;]","[(2091.175049;12070.0);(2091.175049;12070.0);(2091.175049;12070.0);(2091.175049;12070.0);(2091.175049;12070.0);(2091.175049;12070.0);(2091.175049;12070.0);(2091.175049;12070.0);(2091.175049;12070.0);(2091.175049;12070.0);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
5,"FDI_AC","","T2_BasicEmergency","2","[1.995275;1.995275;1.995275;1.995275;1.995275;1.995275;1.995275;1.995275;1.995275;1.995275;]","[0.003004;0.003283;0.003564;0.003843;0.004123;0.004403;0.004683;0.004963;0.005244;0.005523;]","[(2050.0;12109.202148);(2050.0;12109.202148);(2050.0;12109.202148);(2050.0;12109.202148);(2050.0;12109.202148);(2050.0;12109.202148);(2050.0;12109.202148);(2050.0;12109.202148);(2050.0;12109.202148);(2050.0;12109.202148);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
6,"FDI_AC","","T2_BasicEmergency","2","[2.084834;2.084834;2.084834;2.084834;2.084834;2.084834;2.084834;2.084834;2.084834;2.084834;]","[0.006072;0.006364;0.006658;0.00695;0.007242;0.007533;0.007825;0.008117;0.008409;0.008699;]","[(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
7,"FDI_AC","","T2_BasicEmergency","2","[1.871278;1.871278;1.871278;1.871278;1.871278;1.871278;1.871278;1.871278;1.871278;1.871278;]","[0.00545;0.005712;0.005976;0.006238;0.0065;0.006761;0.007023;0.007285;0.007547;0.007808;]","[(2091.175049;12070.0);(2091.175049;12070.0);(2091.175049;12070.0);(2091.175049;12070.0);(2091.175049;12070.0);(2091.175049;12070.0);(2091.175049;12070.0);(2091.175049;12070.0);(2091.175049;12070.0);(2091.175049;12070.0);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
8,"FDI_AC","","T2_BasicEmergency","2","[1.995275;1.995275;1.995275;1.995275;1.995275;1.995275;1.995275;1.995275;1.995275;1.995275;]","[0.005811;0.00609;0.006372;0.006651;0.006931;0.007209;0.007488;0.007768;0.008047;0.008325;]","[(2050.0;12109.202148);(2050.0;12109.202148);(2050.0;12109.202148);(2050.0;12109.202148);(2050.0;12109.202148);(2050.0;12109.202148);(2050.0;12109.202148);(2050.0;12109.202148);(2050.0;12109.202148);(2050.0;12109.202148);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
9,"FDI_AC","","T2_BasicEmergency","2","[2.084834;2.084834;2.084834;2.084834;2.084834;2.084834;2.084834;2.084834;2.084834;2.084834;]","[0.009;0.009301;0.009592;0.009863;0.010189;0.010504;0.010799;0.011091;0.011386;0.01162;]","[(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
