id,user_id,experiment_id,scenario_type,dose_rate,dose_absortion,event_position,event_datetime
0,"FDI_AC","","S2_BasicEmergency","[0.005177;0.00516;0.005159;0.005159;0.005163;0.005173;0.005179;0.005179;0.005179;0.005179;]","[0.0;0.000001;0.000003;0.000004;0.000004;0.000005;0.000006;0.000007;0.000008;0.000008;]","[(11700.0;-18460.0);(11692.359375;-18469.6875);(11692.384766;-18468.517578);(11692.529297;-18468.333984);(11693.326172;-18468.708984);(11696.46875;-18468.654297);(11698.373047;-18467.378906);(11698.373047;-18467.378906);(11698.373047;-18467.378906);(11698.373047;-18467.378906);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
1,"FDI_AC","","S2_BasicEmergency","[0.005179;0.005179;0.005179;0.005179;0.005179;0.005158;0.005157;0.005157;0.005157;0.005157;]","[0.000009;0.00001;0.000011;0.000011;0.000012;0.000013;0.000014;0.000014;0.000015;0.000016;]","[(11698.373047;-18467.378906);(11698.373047;-18467.378906);(11698.373047;-18467.378906);(11698.373047;-18467.378906);(11698.373047;-18467.378906);(11693.129883;-18464.572266);(11693.237305;-18463.208984);(11693.354492;-18462.992188);(11693.53125;-18462.898438);(11693.472656;-18462.873047);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
2,"FDI_AC","","S2_BasicEmergency","[0.005157;0.006795;0.006752;0.006739;0.006848;0.006889;0.006887;0.006763;0.006653;0.006396;]","[0.000017;0.000018;0.000019;0.00002;0.000021;0.000022;0.000023;0.000024;0.000025;0.000026;]","[(11693.484375;-18462.845703);(12089.985352;-18434.136719);(12090.126953;-18410.380859);(12096.458984;-18386.613281);(12120.114258;-18380.347656);(12129.398438;-18377.181641);(12129.201172;-18376.597656);(12105.710938;-18374.837891);(12082.6875;-18377.111328);(12028.037109;-18380.298828);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
3,"FDI_AC","","S2_BasicEmergency","[0.00638;0.0065;0.006502;0.006551;0.006631;0.006591;0.006414;0.006516;0.006515;0.006567;]","[0.000027;0.000028;0.000029;0.00003;0.000031;0.000032;0.000033;0.000034;0.000035;0.000036;]","[(12026.509766;-18375.517578);(12090.769531;-18277.722656);(12090.149414;-18280.138672);(12100.129883;-18280.96875);(12116.390625;-18281.982422);(12107.702148;-18283.134766);(12070.837891;-18281.121094);(12089.646484;-18288.802734);(12089.552734;-18288.21875);(12089.865234;-18314.138672);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
4,"FDI_AC","","S2_BasicEmergency","[0.00666;0.006835;0.006896;0.006919;0.007146;0.010202;0.028141;0.027104;0.132017;0.207762;]","[0.000037;0.000038;0.000039;0.00004;0.000041;0.000042;0.000045;0.00005;0.000061;0.000088;]","[(12108.436523;-18315.519531);(12142.287109;-18318.648438);(12154.147461;-18318.464844);(12159.280273;-18316.933594);(12210.207031;-18298.400391);(12630.538086;-18336.666016);(13543.614258;-18432.894531);(13510.643555;-18434.46875);(14196.874023;-18758.751953);(14451.761719;-18820.25);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
5,"FDI_AC","","S2_BasicEmergency","[0.22169;0.222067;0.220534;0.219817;0.219499;0.205393;0.205397;0.205176;0.203731;0.204336;]","[0.000119;0.000153;0.000188;0.00022;0.000253;0.000287;0.00032;0.000351;0.000384;0.000415;]","[(14567.401367;-18854.435547);(14567.533203;-18854.867188);(14563.768555;-18852.113281);(14561.384766;-18850.652344);(14561.035156;-18850.214844);(14588.421875;-18843.509766);(14585.897461;-18842.626953);(14585.43457;-18842.205078);(14588.163086;-18841.455078);(14593.12207;-18843.958984);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
6,"FDI_AC","","S2_BasicEmergency","[0.18601;0.198809;0.172616;0.172552;0.192015;0.192065;0.18271;0.183483;0.182498;0.181979;]","[0.000444;0.000473;0.000504;0.000535;0.000563;0.000594;0.000624;0.000653;0.000681;0.000711;]","[(14577.730469;-18815.609375);(14511.054688;-18815.935547);(14465.447266;-18776.9375);(14465.486328;-18776.847656);(14536.051758;-18812.431641);(14536.012695;-18812.486328);(14588.071289;-18814.419922);(14587.749023;-18815.382812);(14587.509766;-18813.9375);(14587.260742;-18813.132812);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
7,"FDI_AC","","S2_BasicEmergency","[0.182153;0.182923;0.18466;0.185555;0.185864;0.185999;0.19119;0.192429;0.185635;0.175706;]","[0.000739;0.000766;0.000794;0.000824;0.000854;0.000884;0.000915;0.000946;0.000975;0.001003;]","[(14587.258789;-18813.375);(14587.168945;-18814.416016);(14585.959961;-18816.408203);(14585.724609;-18817.550781);(14585.865234;-18818.015625);(14586.320312;-18818.347656);(14582.551758;-18823.982422);(14579.089844;-18824.462891);(14590.200195;-18819.15625);(14581.244141;-18802.244141);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
8,"FDI_AC","","S2_BasicEmergency","[0.172679;0.170678;0.114613;0.115485;0.120094;0.114106;0.115225;0.078682;0.079901;0.079775;]","[0.001031;0.001059;0.001084;0.001103;0.001121;0.001138;0.001155;0.001169;0.001181;0.001193;]","[(14291.464844;-18798.234375);(14293.93457;-18794.449219);(14217.171875;-18704.896484);(14221.736328;-18705.599609);(14219.975586;-18718.871094);(14208.382812;-18706.945312);(14207.911133;-18710.341797);(13980.708008;-18697.740234);(13990.773438;-18696.949219);(13987.964844;-18698.417969);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
9,"FDI_AC","","S2_BasicEmergency","[0.079985;0.080017;0.08058;0.08068;0.080106;0.079525;0.079321;0.079355;0.07948;0.082773;]","[0.001205;0.001217;0.001229;0.001241;0.001253;0.001265;0.001277;0.001289;0.001301;0.001313;]","[(13986.453125;-18700.832031);(13985.351562;-18701.892578);(13988.081055;-18702.972656);(13988.183594;-18703.466797);(13986.245117;-18701.699219);(13983.713867;-18700.330078);(13982.492188;-18700.105469);(13982.779297;-18700.074219);(13982.828125;-18700.769531);(14005.600586;-18701.601562);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
